plot_id,jaar,bron,ahn_mean,ahn_sd,stikstof_mean,stikstof_median
3490,2025,AHN_DTM,9.076470375061035,6.594278335571289,,
3496,2025,AHN_DTM,11.65318489074707,4.5420732498168945,,
3497,2025,AHN_DTM,8.468486785888672,2.987337827682495,,
3498,2025,AHN_DTM,10.79115104675293,5.378963947296143,,
3499,2025,AHN_DTM,0.1740555614233017,0.5320770144462585,,
3500,2025,AHN_DTM,13.324989318847656,5.273548126220703,,
3501,2025,AHN_DTM,13.291370391845703,6.558050632476807,,
3502,2025,AHN_DTM,12.344048500061035,4.8061323165893555,,
3503,2025,AHN_DTM,12.129064559936523,5.2493577003479,,
3504,2025,AHN_DTM,6.347733497619629,3.649557590484619,,
3505,2025,AHN_DTM,8.582042694091797,4.103343486785889,,
3506,2025,AHN_DTM,10.335212707519531,4.871228218078613,,
3507,2025,AHN_DTM,12.9761962890625,4.341517925262451,,
3508,2025,AHN_DTM,8.317626953125,4.49045467376709,,
3509,2025,AHN_DTM,11.582852363586426,4.694362640380859,,
3510,2025,AHN_DTM,12.614239692687988,5.183394908905029,,
3511,2025,AHN_DTM,10.24406909942627,5.690682888031006,,
3512,2025,AHN_DTM,5.952225208282471,2.9037654399871826,,
3513,2025,AHN_DTM,8.992645263671875,4.447983741760254,,
3514,2025,AHN_DTM,5.771674633026123,7.327235221862793,,
3515,2025,AHN_DTM,11.010284423828125,3.972456216812134,,
3516,2025,AHN_DTM,9.71229076385498,4.530256748199463,,
3517,2025,AHN_DTM,6.247081756591797,2.826707124710083,,
3518,2025,AHN_DTM,8.517171859741211,4.823115348815918,,
3519,2025,AHN_DTM,12.527695655822754,4.745750427246094,,
3520,2025,AHN_DTM,7.270046234130859,2.9760637283325195,,
3521,2025,AHN_DTM,6.972037315368652,2.5709283351898193,,
3522,2025,AHN_DTM,10.906445503234863,4.01973819732666,,
3523,2025,AHN_DTM,6.350893974304199,4.231052875518799,,
3524,2025,AHN_DTM,10.831777572631836,4.4697113037109375,,
3525,2025,AHN_DTM,9.406708717346191,4.945584774017334,,
3526,2025,AHN_DTM,18.02962303161621,3.709634780883789,,
3527,2025,AHN_DTM,18.072729110717773,5.811616897583008,,
3528,2025,AHN_DTM,3.744128704071045,1.0630582571029663,,
3529,2025,AHN_DTM,6.5709333419799805,2.880328416824341,,
3530,2025,AHN_DTM,9.653480529785156,4.487205505371094,,
3531,2025,AHN_DTM,14.949209213256836,4.294817924499512,,
3532,2025,AHN_DTM,7.498577117919922,3.1458663940429688,,
3533,2025,AHN_DTM,9.445724487304688,4.643097877502441,,
3534,2025,AHN_DTM,6.782449245452881,3.0600078105926514,,
3581,2025,AHN_DTM,7.1165900230407715,4.042349815368652,,
3583,2025,AHN_DTM,11.99583911895752,2.631183624267578,,
9917,2025,AHN_DTM,5.812136650085449,3.409018039703369,,
10626,2025,AHN_DTM,7.373558521270752,3.3222742080688477,,
12381,2025,AHN_DTM,4.711596965789795,0.9976005554199219,,
12382,2025,AHN_DTM,7.041903972625732,2.6980202198028564,,
20247,2025,AHN_DTM,4.696667671203613,1.7455581426620483,,
20758,2025,AHN_DTM,12.110580444335938,3.927438974380493,,
27371,2025,AHN_DTM,5.984582424163818,1.8679054975509644,,
29455,2025,AHN_DTM,7.520366191864014,3.4357998371124268,,
29456,2025,AHN_DTM,7.954553604125977,2.8717703819274902,,
29457,2025,AHN_DTM,4.052354335784912,1.0817062854766846,,
29459,2025,AHN_DTM,9.948740005493164,5.741988658905029,,
100425,2025,AHN_DTM,5.726357936859131,2.252816915512085,,
112100,2025,AHN_DTM,4.107801914215088,1.7299706935882568,,
