"groep_100","korte_beschrijving","periode","eerste_jaar","laatste_jaar","n_jaren","mean_msi","median_msi","mean_species_contributing","trend_pct_per_jaar","p_trend","r2"
100,"Watervogels","1958-1983",1958,1983,26,83.7668532754259,89.5179269929538,11.5769230769231,1.57295223311054,0.00426793201273601,0.29333899392739
100,"Watervogels","1984-2025",1984,2025,42,61.3927190155213,56.344622035837,12.8095238095238,-2.50461726406643,1.74454047919998e-13,0.746387420238714
200,"Rietvogels","1958-1983",1958,1983,26,81.7992268900474,78.8088477017793,5.34615384615385,4.29695052654806,4.73058495849648e-06,0.589186823662974
200,"Rietvogels","1984-2025",1984,2025,42,148.711314147172,135.673835960121,6.57142857142857,-1.30626789527882,0.000100233524378633,0.318126572914987
300,"Vogels van pionierbegroeiingen","1958-1983",1958,1983,26,83.8446913710476,84.194300478507,9.26923076923077,3.28569123095797,3.2691896225859e-06,0.601344083654511
300,"Vogels van pionierbegroeiingen","1984-2025",1984,2025,42,74.5544721721324,69.119421640944,6.95238095238095,0.987358413349759,0.0812947983137334,0.0740359340557419
400,"Vogels van open heide","1958-1983",1958,1983,26,84.4732163288059,86.2066284243602,5.84615384615385,3.66523371190137,6.61226779165251e-05,0.49157201666573
400,"Vogels van open heide","1984-2025",1984,2025,42,53.628505377405,43.1365714806346,3.66666666666667,-0.128341266521625,0.839941762531164,0.00103206833938742
500,"Weidevogels","1958-1983",1958,1983,26,80.3445594354542,76.9232601940697,8.38461538461539,0.281668026025828,0.551057943072296,0.0150069141598312
500,"Weidevogels","1984-2025",1984,2025,42,37.0495614522738,33.2525400402093,6.35714285714286,-1.08719763857807,0.0255693536671342,0.118537923318594
600,"Struweelvogels","1958-1983",1958,1983,26,81.5029437028604,75.30973408322,19.1538461538462,6.06268595232413,5.54681312265157e-11,0.838389911621734
600,"Struweelvogels","1984-2025",1984,2025,42,153.480659024446,153.315793476196,19.8571428571429,-0.171105826463658,0.32935494089553,0.0237966438881104
700,"Bosrandvogels","1958-1983",1958,1983,26,78.9262031609653,74.4738075256699,16.1923076923077,2.90691685848301,2.90922718277184e-06,0.605109812239669
700,"Bosrandvogels","1984-2025",1984,2025,42,109.963775452418,108.363738706336,16.0952380952381,0.161199982625804,0.315855724779862,0.025144865985506
800,"Bosvogels","1958-1983",1958,1983,26,79.775306446823,70.7977832490673,11.9230769230769,4.18127914200539,1.47500469077007e-05,0.549504484706874
800,"Bosvogels","1984-2025",1984,2025,42,146.698774400522,143.691645016235,16,0.110072808663086,0.588871327166058,0.0073672766269818
900,"Vogels van bebouwing/overige","1958-1983",1958,1983,26,73.503282055869,56.67075813919,3.76923076923077,5.89567278998846,0.000270338048406404,0.430957514969332
900,"Vogels van bebouwing/overige","1984-2025",1984,2025,42,81.5146390942118,70.8070875077235,4.69047619047619,-2.32641211193383,6.10856617722068e-08,0.523773201838048
