jaar,open_droog_pct_van_totaal_ruw,open_en_vochtig_pct_van_totaal_ruw,open_droog_pct_7jaars_gemiddelde,open_en_vochtig_pct_7jaars_gemiddelde
1958,36.149,28.716,,
1959,36.699,34.295,,
1960,36.744,33.682,,
1961,34.899,30.649,34.044,29.609
1962,33.136,28.54,32.32,28.596
1963,32.78,27.622,30.802,27.045
1964,27.9,23.762,29.061,25.335
1965,24.083,21.62,27.869,23.996
1966,26.071,23.438,26.555,22.365
1967,24.556,21.715,25.177,20.751
1968,26.555,21.275,24.802,19.668
1969,23.937,17.123,24.879,18.714
1970,23.138,16.323,24.567,17.289
1971,25.276,16.181,24.381,15.994
1972,24.617,14.941,24.124,14.714
1973,23.892,13.465,24.644,13.841
1974,23.25,12.653,23.745,13.138
1975,24.761,12.31,28.63,11.627
1976,27.572,11.016,34.212,10.141
1977,16.844,11.401,39.827,8.834
1978,59.474,5.605,45.444,7.609
1979,63.694,4.534,51.242,6.35
1980,63.193,4.321,56.772,5.221
1981,62.573,4.077,64.451,3.951
1982,65.344,3.499,63.932,3.693
1983,66.283,3.109,58.869,3.875
1984,70.596,2.514,58.969,3.625
1985,55.841,3.798,58.554,3.466
1986,28.256,5.804,55.9,3.611
1987,63.889,2.575,49.57,4.028
1988,59.668,2.961,41.388,4.955
1989,46.769,4.516,35.019,5.832
1990,21.968,6.029,32.681,6.564
1991,13.327,9.003,25.116,7.67
1992,11.255,9.934,18.34,8.952
1993,11.889,10.933,13.556,10.119
1994,10.934,10.311,12.605,11.388
1995,12.239,11.94,12.875,12.215
1996,13.279,12.686,13.271,12.757
1997,15.313,14.912,14.107,13.688
1998,15.214,14.786,14.66,14.276
1999,14.032,13.729,15.093,14.717
2000,17.741,17.451,15.439,15.114
2001,14.804,14.43,15.621,15.332
2002,15.265,15.024,15.86,15.605
2003,15.701,15.467,15.901,15.66
2004,16.592,16.434,15.276,15.058
2005,16.882,16.703,15.121,14.927
2006,14.322,14.113,14.609,14.43
2007,13.367,13.234,14.198,14.028
2008,13.715,13.515,13.963,13.803
2009,11.687,11.541,13.259,13.107
2010,12.818,12.659,12.996,12.869
2011,14.953,14.857,12.737,12.629
2012,11.954,11.83,12.424,12.338
2013,12.477,12.447,12.471,12.397
2014,11.556,11.556,12.436,12.373
2015,11.524,11.474,11.962,11.906
2016,12.012,11.959,12.201,12.147
2017,12.573,12.49,12.514,12.457
2018,11.639,11.585,12.921,12.857
2019,13.626,13.521,13.868,13.806
2020,14.667,14.616,14.555,14.496
2021,14.409,14.355,15.013,14.95
2022,18.153,18.119,15.759,15.7
2023,16.818,16.789,,
2024,15.782,15.668,,
2025,16.859,16.83,,
