jaar,totaal_geteld,open_droog_aantal,open_vochtig_aantal,open_droog_pct_van_totaal,open_vochtig_pct_van_totaal,som_beide_pct
1958,592,214,170,36.149,28.716,64.865
1959,1248,458,428,36.699,34.295,70.994
1960,1339,492,451,36.744,33.682,70.426
1961,1341,468,411,34.899,30.649,65.548
1962,1349,447,385,33.136,28.54,61.675
1963,1144,375,316,32.78,27.622,60.402
1964,1595,445,379,27.9,23.762,51.661
1965,1827,440,395,24.083,21.62,45.703
1966,1937,505,454,26.071,23.438,49.51
1967,1971,484,428,24.556,21.715,46.271
1968,1913,508,407,26.555,21.275,47.831
1969,1717,411,294,23.937,17.123,41.06
1970,1893,438,309,23.138,16.323,39.461
1971,1990,503,322,25.276,16.181,41.457
1972,2222,547,332,24.617,14.941,39.559
1973,2436,582,328,23.892,13.465,37.356
1974,2529,588,320,23.25,12.653,35.904
1975,2827,700,348,24.761,12.31,37.071
1976,3159,871,348,27.572,11.016,38.588
1977,2719,458,310,16.844,11.401,28.246
1978,5816,3459,326,59.474,5.605,65.079
1979,6616,4214,300,63.694,4.534,68.229
1980,7428,4694,321,63.193,4.321,67.515
1981,8363,5233,341,62.573,4.077,66.651
1982,8746,5715,306,65.344,3.499,68.843
1983,10259,6800,319,66.283,3.109,69.393
1984,4615,3258,116,70.596,2.514,73.109
1985,6266,3499,238,55.841,3.798,59.639
1986,3532,998,205,28.256,5.804,34.06
1987,7535,4814,194,63.889,2.575,66.463
1988,7701,4595,228,59.668,2.961,62.628
1989,5957,2786,269,46.769,4.516,51.284
1990,4329,951,261,21.968,6.029,27.997
1991,3399,453,306,13.327,9.003,22.33
1992,3332,375,331,11.255,9.934,21.188
1993,3558,423,389,11.889,10.933,22.822
1994,3695,404,381,10.934,10.311,21.245
1995,3685,451,440,12.239,11.94,24.179
1996,3705,492,470,13.279,12.686,25.965
1997,3239,496,483,15.313,14.912,30.225
1998,2800,426,414,15.214,14.786,30.0
1999,2979,418,409,14.032,13.729,27.761
2000,2762,490,482,17.741,17.451,35.192
2001,3472,514,501,14.804,14.43,29.234
2002,2902,443,436,15.265,15.024,30.289
2003,2987,469,462,15.701,15.467,31.168
2004,3146,522,517,16.592,16.434,33.026
2005,2784,470,465,16.882,16.703,33.585
2006,2395,343,338,14.322,14.113,28.434
2007,3015,403,399,13.367,13.234,26.6
2008,2501,343,338,13.715,13.515,27.229
2009,2738,320,316,11.687,11.541,23.229
2010,3144,403,398,12.818,12.659,25.477
2011,3103,464,461,14.953,14.857,29.81
2012,3229,386,382,11.954,11.83,23.784
2013,3318,414,413,12.477,12.447,24.925
2014,3894,450,450,11.556,11.556,23.112
2015,3983,459,457,11.524,11.474,22.998
2016,3763,452,450,12.012,11.959,23.97
2017,3579,450,447,12.573,12.49,25.063
2018,3660,426,424,11.639,11.585,23.224
2019,3831,522,518,13.626,13.521,27.147
2020,3893,571,569,14.667,14.616,29.283
2021,3706,534,532,14.409,14.355,28.764
2022,2881,523,522,18.153,18.119,36.272
2023,3419,575,574,16.818,16.789,33.606
2024,3504,553,549,15.782,15.668,31.45
2025,3464,584,583,16.859,16.83,33.689
